LGA NAME,WARD NAME
,SEIBOKOROGHA
,(SABAGREIA) I
,OKOLOBA (SABAGREIA) II
,IGBEDI
,
NEMBE,OGBOLOMABIRI I
,OGBOLOMABIRI II
,OGBOLOMABIRI III
,BASSAMBIRI I
,BASSAMBIRI II
,BASSAMBIRI III
,BASSAMBIRI IV
,IGBETA-EWOAMA
,OKOROMA I
,OKOROMA II
,MINI
,IKENSI
,OLUASIRI
,
OGBIA,OGBIA
,OTUOKPOTI
,OLOGI
,ANYAMA
,OKODI
,OTUASEGA
,EMEYAL
,IMIRINGI
,KOLO
,OLOIBIRI
,OPUME
,OTAKEME
,OTUABULA
,
SAGBAMA,AGBERE
,ANGALABIRI
,OFONI I
,OFONI II
,EBEDEBIRI
,OSSIAMA
,ASAMABIRI
,
SOUTHERN IJAW,OPOROMA I
,OPOROMA II
,OLODIAMA I
,OLODIAMA II
,OTUAN
,WEST BOMA
,CENTRAL BOMA I
,CENTRAL BOMA II
,AMASSOMA I
,AMASSOMA II
,AMASSOMA III
,EAST BOMA I
,EAST BOMA II
,FOROPA
,APOI
,UKUBIE
,KOLUAMA
,
YENAGOA,ATISSA I
,ATISSA II
,ATISSA III
,EPIE I
,EPIE II
,EPIE III
,GBARAIN I
,GBARAIN II
,GBARAIN III
,EKPETIAMA I
,EKPETIAMA II
,EKPETIAMA III
,BISENI I
,BISENI II
,OKORDIA
,ZARAMA
,
ADO,AKPOGE/OGBILOLO
,APA
,EKILE
,IGUMALE I
,IGUMALE II
,HIGBAM
,OGEGE
,ROYONGO
,UKWONYO
,ULAYI
,
AGATU,EGBA
,ENUNGBA
,OBAGAJI
,ODUGBEHO
,EGBAULU
,OGWULE-KADUNA
,OGWULE-OGBAULU
,OKOKOLO
,OSHIGBUDU
,USHA
,
APA,AKPETE/OJANTELLE
,AUKE
,EDIKWU I
,EDIKWU II
,IGAH-OKPAYA
,IGORO
,IKOBI
,OBA
,OFOKE
,OIJI
,UGBOKPO
,
BURUKU,BINEV
,ETULO
,MBAADE
,MBAAKURA
,MBAAPEN
,MBAATIRKYAA
,MBAAZAGEE
,MABIKYONGO/NYIFON
,MBAITYOUGH
,MBAKYAAN
,MBAYA
,MBAYAKA
,SHOROV
,
GBOKO,GBOKO CENTRAL/MKT
,GBOKO EAST
,GBOKO NORTH WEST
,GBOKO SOUTH
,IGYOROV
,MBAANKU
,MBAAVARAKAA
,MBADAM
,MBADIM
,MBAKPER
,MBAKWEN
,MBATAN
,MBATSER
,MBATYU
,UKPEKPE
,YANDEV NORTH
,YANDEV SOUTH
,
GUMA,ABINSI
,KAAMBE
,MBAABAI
,MBADWEM
,MBAWA
,MBAYER/YANDLEV
,NYIEV
,NZOROV
,SAGHEV
,UVIR
,
GWER EAST,AKPACH’AYI
,ALIADE TOWN
,GBEMACHA
,IKYOGBAJIR
,IKYONOV
,MBABUR
,MBAIASE
,MBAIKYU
,MBAIKYAAN
,MBALOM
,MBASOMBO
,MBAYOM
,SHOUGH
,UGEE
,
GWER WEST,AVIHIJIME
,GAAMBE USHIN
,GBAANGE/TONGOV
,IKYAGHEV
,ITYOUGHATEE/INJAHA
,MBABUANDE
,MBACHOHON
,MBANYAMSHI
,MBAPA
,MERKYEN
,SAGHEV/UKUSU
,SENGEV
,SENGEV/YENGEV
,TIJIME
,TSAMBE/MBESEV
,
KATSINA-ALA,IKURAV TIEV I
,IKURAV TIEV II
,IWAR (TONGOV) I
,KATSINA-ALA TOWN
,MBACHER
,MBAJIR
,MBATULA/MBEREV
,MBAYONGO
,MICHIHE
,TIIR (TONGOV) II
,UTANGE
,YOOYO
,
KONSHISHA,IKYURAV/MBATWER
,MBAGUSA/MBATSER
,MBAIKYASE
,MBAIWARNYAM
,MBAKE
,MBANOR
,MBATSEN
,MBAVAA
,MBAWAR
,MBAVEGH/MBAIKYER
,TSE-AGBERAGBA
,
KWANDE,ADIKPO METROPOLIS
,LIVE I
,LIEVE II
,MBADURA
,MBAGBA/MBAIKYAN
,MBAIKYOR
,MBAKETSA
,MENEV
,TONDOV I
,TONDOV II
,USAR
,MBAYOO
,YAAAV
,MOON
,KUMAKWAGH
,
LOGO,MBAD YUL
,MBAGBER
,MBATER
,MBAYAM
,MBAVUUM
,NENZEV
,TOMBO
,TURAN
,UKEMBERGYA/TSWAREV
,YONOV
,
MAKURDI,AGAN
,ANKPA/WADATA
,BAR
,CENTRAL/SOUTH MISSION
,CLERKS/MARKET
,FIIDI
,MBALAGH
,MODERN MARKET
,NORTH BANK I
,NORTH BANK II
,WAILOMAYO
,
OBI,ADIKO
,ADUM WEST
,IKWOKWU
,IRABI
,ITOGO
,OBARIKE
,OBEKO
,ODIAPA
,OGORE
,OKPOKWU
,OKWUTUNGBE
,ORII II
,
OGBADIBO,AL-OODO I
,AL-OODO II
,AL-OONO I
,AL-OONO II
,AL-OONO III
,EHAJE I
,EHAJE II
,ITABONO I
,ITABONO II
,OLACHAGBAHA
,OROKAM I
,OROKAM II
,OROKAM III
,
OJU,ADOKPA
,AINU
,IBILLA
,IDELLE
,IYECHE
,OBORU/OYE
,OJU
,OKOKPO
,OKWUDU
,OWO
,UKPA/AINU ETTE
,
OHIMINI,AGADAGBA
,AMUME-EHAJE
,AMUME-ICHO
,EHATOKPE
,IDEKPA
,OCHOBO
,OGLEWO-EHAJE
,OGLEWO-ICHO
,ONYAGEDE-EHAJE
,ONYAGEDE-ICHO
,
OKPOKWU,AMEJO
,EKE
,ICHAMA II
,OJIGO
,OJOGA
,OKONOBO
,OKAPILE/INGLE
,OKPOGA CENTRAL
,OKPOGA NORTH
,OKPOGA SOUTH
,OKPOGA WEST
,UGBOKOLO
,
OTUKPO,ADOKA-ICHO
,ADOKA-EHAJE
,ALLAN
,ENTEKPA
,EWULO
,EKETE
,OTOBI
,OTUKPO TOWN CENTRAL
,OTUKPO TOWN EAST
,OTUKPO TOWN WEST
,UGBOJU EHAJE
,UGBOJU-ICHO
,
TARKA,MBAAJIRAKAA
,MBAAYO
,MBACHAVERIKYONDO
,MBA IGBA
,MBAIKYO/MBAYIA
,MBA KWAKEM
,MBANYAGBER
,SHITILE
,TONGOV
,
UKUM,ATERAYANGE
,AZENDESHI
,BORIKYO
,ITYULUV
,KENDEV
,KUNDAV
,KUMBUV
,MBATAIN
,MBAYENGE
,MBAZUN
,TSAAV
,UGBAAM
,UYAM
,
USHONGO,ATIKYESE
,IKYOV
,LESSEL
,MBAAKA
,MBANYAM
,MBAAWE
,MBAGBA
,MBAGWAZA
,MBAKUHA
,MBAYEGH
,UTANGE
,
VENDEIKYA,MBADE
,MBATYOUGH
,MBAGBAM
,MBAGBURA
,MBAIK
,MBAKAANGE
,MBAKYAHA
,MBAYONGO
,NINGEV
,TSAMPE
,VALAEIKYA
,MNAN YUMANGBAGH
,
ABADAM,ARERE
,BANOWA
,FUGUWA
,JABULLAM
,KUDOKURGU
,MALLAM FOTORI KESA’A
,MALLAM KANURARI
,YAU
,YAWA KURA
,YITUWA
,
ASKIRA/UBA,ASKIRA EAST
,CHUL/RUMIRGO
,DILLE/HUYUM
,HASARA/TAMPUL
,KOPA MULTHAFU
,LASSA
,MUSSA
,NGOHI
,NGULDE
,UBA
,UVU UDA
,WAMDEO/GIWI
,ZADAWA/HAUSARI
,
BAMA,ANDARA/AJIRI/WULBA
,BUDUWA/BULACHIRABE
,DIPCHARI/JERE/KOTEMBE/DARAJ AMAL
,GULUMBA/JUKKURI/BATRA
,KASUGULA
,KUMSHE/NDUGUNO
,LAWANTI/MAL MASTARI/ABBARAM
,MARKA/MALGE/AMCHAKA
,MBULIYA/GONIRI/SIRAJA
,SABSABWA/SOYE/BULAONGU
,SHEHURI/HAUSARI/MAIRI
,WULBARI/NDINE/CHACHILE
,YABIRI KURA/YABI RIGANA/CHONGOLO
,ZANGERII/KASH KASH
,
BAYO,BALBAYA
,BRIYEL
,FIKAYEL
,GAMADADI
,JARA GOL
,JARA DALI
,LIMANTI
,TELI
,WUYO
,ZARA
,
BIU,BURANTAI
,DADIN KOWA
,DUDJA
,GURUBULA
,GUR
,KENKEN
,MANDARA GIRAU
,MIRINGA
,SULUMTHLA
,YAWI
,ZARAWUYAKU
,
CHIBOK,CHIBOK GARU
,CHIBOK LIKAMA
,CHIBOK WHISNTAKU
,GATAMARWA
,KAUTIKARI
,KORONGILIM
,KUBURMBULA
,MBALALA
,MBOA KURA
,SHIKAKIR
,PEMI
,
DAMBOA,AJIGIN (A)
,AJIGIN (B)
,AZUR/MULTE/FORFOR
,BEGO/YERWA/NGIRNA
,DAMBOA
,GUMSURI/MISA/KURBUTU
,KAFA/MAFI
,MULGWAI/KOPCHI
,NZUDA/WUYARAM
,WAMA/KOREDE
,
DIKWA,BOBOSHE
,DIKWA
,GAJIBO
,UFAYE/GUJILE
,MULIYE/JEMURI
,MUDU/KAZA
,MALLAM MAJA
,NGUDORAM
,MAGARTA/SHEFFRI
,SOGOMA/AFUYE
,
GUBIO,ARDIMINI
,DABIRA
,FELO
,GAMOWO
,GAZABURE
,GUBIO TOWN I
,GUBIO TOWN II
,KINGOWA
,NGETRA
,ZOWO
,
GUZAMALA,ADUWA
,GUDUMBALI EAST
,GUDUMBALI WEST
,GUWORAM
,GUZAMALA EAST
,GUZAMALA WEST
,KINGARWA
,MAIJARI
,MODURI
,WAMIRI
,
GWOZA,ASHIGASHIYA
,BITA/IZGE
,DURE/WALA/WARABE
,GAVVA AGAPALWA
,GUDUF/NAGADIYO
,GWOZA TOWN/GADA MAYO
,GWOZA WAKAN/BULABULIN
,HAMBAGDA/LIMANKARA
,JOHADE/CHIKIDE/KUGHUM
,KIRAWA/JIMINI
,KURA NABASSA NGOSHESAMA’A
,NGOSHE
,PULKE/BOKKO
,
HAWUL,BULUNGURI
,GRIM/DZAR/VINADUM/BIRNINI/D LADI
,GWANGANG/PUSDA
,HIZHI
,KIDA
,KWAJJAFA/HAARANG
,KWAYA-BURA/TANGA RAMTA
,MARAMA/KIDANG
,PAMA/WHIT AMBAYA
,PUBA/VIDAU LOKOJA
,SAKWA/HEMA
,SHAFFA
,
JERE,ALAU
,BALE GALTIMARI
,DALA LAWANTI
,DUSUMAN
,GONGULONG
,MAIMUSARI
,MASHAMARI
,NGUDDA/ADDAMARI
,OLD MAIDUGURI
,TUBA
,MAIRA
,GOMARI
,
KAGA,AFA/DIG MAUDORI
,BENISHEIKH
,BORGOZO
,DOGOMA/JALORI
,DONGO
,GALANGI
,GUWO
,KARAGAWARU
,MAINOK
,MARGUBA
,NGAMDU
,SHETTIMARI
,TOBOLO
,WAJIRO/BURGUMMA
,WASSARAM
,
KALA BALGE,BALGE
,JILBE (A)
,JILBE (B)
,JARAWA
,KALA
,KUMAGA
,RANN (A)
,RANN (B)
,SABKARA
,SIGNAL
,
KONDUGA,AUNO/CHABBOL
,DALORI/WANORI
,DALWA EAST/MALARI/KANGAMARI
,JEWU/LAMBOA
,KAWURI
,KELUMIRI/NGALBIMARI/YALE
,KONDUGA
,MAIRAMRI/YALERI/BAZAMRI
,MASBA/DALWA WEST
,NYALERI/SANDIA/YEJIWA
,SOJIRI/NGURO-NGURO
,
KUKAWA,ALAGARNO
,BAGA
,BUNDUR
,DOGOSHI
,DORO/DUGURI
,KALUWA
,KEKENO
,KUKAWA
,MODUARI/BARWATI
,YOYO
,
KWAYA KUSAR,GONDI
,GUSI/BILLA
,GUWAL
,KUBUKU
,KURBA
,KWAYA KUSAR
,PETA
,WADA
,WAWA
,YIMIRTHLALANG
,
MAFA,ABBARI
,ANADUA
,GAWA
,KOSHEBE
,LAJE
,LAWANTI
,LOSKURI
,MA’AFA
,MAFA
,MASU
,MAJIGINE
,TAMSU-NGAMDUA
,
MAGUMERI,ARDORAM
,AYI/YASKU
,BORNO YESU
,FURRAM
,GAJIGANNA I
,GAJIGANNA II
,YOYO/CHINGOWA
,KALIZORAM/BANORAM
,KARERAM
,KUBTI
,MAGUMERI
,NGAMMA
,NGUBALA
,
MAIDUGURI,BOLORI I
,BOLORI II
,BULABLIN
,FEZZAN
,GAMBORU LIBERTY
,GWANGE I
,GWANGE II
,GWANGE III
,HAUSARI/ZANGO
,LAMISULA/JABBAMARI
,LIMANTI
,MAFONI
,MAISANDARI
,SHEHURI NORTH
,SHEHURI SOUTH
,
MARTE,ALA
,ALLA LAWANTI
,BORSORI
,GUMNA
,KABULAWA
,KIRENOWA
,KULLI
,MARTE
,MAWULLI
,MUSUNE
,NGELEIWA
,NJINE
,ZAGA
,
MOBBAR,ASAGA
,BOGUM
,CHAMBA
,DAMASAK
,DUJI
,CASHAAGAR
,KARETO
,LAYI
,ZANWA UMARTI
,ZARI
,
MONGUNO,DAMAKULLI
,KAGURAM
,KUMALIA
,MAFIO
,MANDALA
,MINTAR
,MONGUNO
,NGURNO
,SURE
,WULO
,YELE
,ZULUM
,
NGALA,DARRAK
,FUYE
,GAMBORU (B)
,GAMBORU (C)
,LOGUMANE
,NDUFU
,NGALA
,OLD GAMBORU ‘A’
,TUNOKALIA
,WARSHELLE
,WULGO
,
NGANZAI,ALARGE
,BADU
,DAMARAM
,GAJIRAM
,GADAI
,JIGALTA
,DUKA
,KURNAWA
,MAIWA
,MIYE
,SABSABUWA
,SUBUNDURE
,
SHANI,BURGU/BURASHIKA
,BUMA
,GASI/SALIFAWA
,GORA
,GWALASHO
,GWASKARA
,KOMBO
,KUBO
,KWABA
,SHANI
,WALAMA
,
ABI,ADAMAWA
,AFAFANYI/IGONIGONI
,EBOM
,EDIBA
,EKUREKU I
,EKUREKU II
,IMABANA I
,IMBABNA II
,ITIGIDI
,USUMUTONG
,
AKAMKPA,AKAMKPA URBAN
,AWI
,EKU
,IKO
,IKPAI
,MBARAKOM
,OBAN
,OJUK NORTH
,OJUK SOUTH
,UYANGA
,
AKPABUYO,ATIMBO EAST
,ATIMBO WEST
,ENEYO
,IDUNDU/ANYANGANSE
,IKANG CENTRAL
,IKANG NORTH
,IKANG SOUTH
,IKOT EDEM ODO
,IKOT EYO
,IKOT NAKANDA
,
BAKASSI,ABANA
,AKPANKANYA
,AKWA
,AMBAI EKPA
,AMOTO
,ARCHIBONG
,ATAI EMA
,EFUT INWANG
,EKPOT ABIA
,ODIONG
,
BEKWARRA,ABUOCHICHE
,AFRIKE OCHAGBE
,AFRIKE OKPECHE
,BETEN
,GAKEM
,IBIARAGIDI
,NYANYA
,OTUKPURU
,UGBORO
,UKPAH
,
BIASE,ABAYONG
,ADIM
,AGWAGUNE/OKURIKE
,AKPET/ABINI
,BIAKPAN
,AHOM
,EREI NORTH
,EREI SOUTH
,IKUN/ETONO
,UMON NORTH
,UMON SOUTH
,
BOKI,ABO
,ALANKWU
,BEEBO/BUMAJI
,BOJE
,BUDA
,BUENTSEBE
,BUNYIA/OKUBUCHI
,EKPASHI
,KAKWAGOM/BAWOP
,OGEP/OSOKOM
,OKUM/BORUM/NJUA
,
CALABAR MUNICIPALITY,I
,II
,III
,IV
,V
,VI
,VII
,VIII
,IX
,X
,
CALABAR SOUTH,ONE (I)
,TWO (2)
,THREE (3)
,FOUR (4)
,FIVE (5)
,SIX (6)
,SEVEN (7)
,EIGHT (8)
,NINE (9)
,TEN (10)
,ELEVEN (11)
,TWELVE (12)
,
ETUNG,ABIA
,ABIJANG
,AGBOKIM
,AJASSOR
,BENDEGHE EKIEM
,EFFRAYA
,ETOMI
,ITAKA
,MKPOT/AYUKABA
,NSOFANG
,
IKOM,ABANYUM
,AKPARABONG
,IKOM URBAN I
,IKOM URBAN II
,NDE
,NNAM
,NTA/NSELLE
,OFUTOP I
,OFUTOP II
,OLULUMO
,YALA/NKUM
,
OBANLIKU,BASSANG
,BEBI
,BECHEVE
,BENDI I
,BENDI II
,BISHIRI NORTH
,BISHIRI SOUTH
,BISU
,BUSI
,UTANGA
,
OBUBRA,ABABENE
,APIAPUM
,IYAMOYONG
,OBUBRA URBAN
,OCHON
,OFAT
,OFODUA
,OFUMBONGHA/YALA
,OSOPONG I
,OSOPONG II
,OVONUM
,
OBUDU,ALEGE/UBANG
,ANGIABA/BEGIAKA
,BEGIADING
,IPONG
,OBUDU URBAN I
,UBUDU URBAN II
,UKPE
,UTUGWANG CENTRAL
,UTUGWANG NORTH
,UTUGWANG SOUTH
,
ODUKPANI,ADIABO/EFUT
,AKAMKPA
,CREEK TOWN I
,CREEK TOWN II
,EKORI/ANAKU
,ENIONG
,EKI
,OBOMITIAT/MBIABO/EDIO
,NG
,ODOT
,ODUKPANI CENTRAL
,ONIMAN-KIONG
,IKONETO
,ITO/IDERE/UKWA
,
OGOJA,EKAJUK I
,EKAJUK II
,MBUBE EAST I
,MBUBE EAST II
,MBUBE WEST I
,MBUBE WEST II
,NKUM IBOR
,NKUM IREDE
,OGOJA URBAN I
,OGOJA URBAN II
,
YAKURR,AFREKPE/EKPENTI
,AJERE
,ASSIGA
,BIKO BIKO
,IDOM
,IJIMAN
,IJOM
,IKPKAPIT
,INYIMA
,MPKANI/AGOI
,ABANAKPAI
,NKPOLO/UKPAWEN
,NTAN
,
YALA,ECHUMOFANA
,GABU
,IJIRAGA
,NJRIGOM/MFUMA
,IKPOMA
,OKUKU
,WANIHEM
,WANIKADE
,WANAKOM
,YACHE
,YAHE
ANIOCHA NORTH,OBIOR
,ONICHA-UGBO
,OBAMKPA
,ONICHA-OLONA
,ISSELE-AZAGBA
,ISSELE-UKU I
,ISSELE-UKU II
,IDUMUJE-UNOR
,UKWU-NZU
,EZI
,
ANIOCHA SOUTH,OGWASHI-UKU VILLAGE
,OGWASHI-UKU I
,OGWASHI-UKU II
,UBULU-KU I
,UBULU-KU II
,UBULU-UNOR
,NSUKWA
,EJEME
,ISHEAGU/EWULU
,ABA-UNOR
,UBULU OKITI
,
BOMADI,BOMADI
,KPAKIAMA
,SYAMA
,OGRIAGBENE
,KOLOFIOGBENE/EKEMET AGBENE
,OGBEINAMA/OKOLOBA
,AKUGBENE I
,AKUGBENE II
,AKUGBENE III
,OGO-EZE
,
BURUTU,TORUGBENE
,TAMIGBE
,TUOMO
,SEIBIRI
,OJOBO
,BULOU-NDORO
,NGBILEBIRI I
,NGBILEBIRI II
,OGBOLUBIRI
,OBOTEBE
,OGULAGHA
,
ETHIOPE- EAST,ABRAKA I
,ABRAKA II
,ABRAKA III
,AGBON I
,AGBON II
,AGBON III
,AGBON IV
,AGBON V
,AGBON VI
,AGBON VII
,AGBON VIII
,
ETHIOPE- WEST,MOSOGAR I
,MOSOGAR II
,JESSE I
,JESSE II
,JESSE III
,JESSE IV
,OGHARA I
,OGHARA II
,OGHARA III
,OGHARA IV
,OGHARA V
,
IKA NORTH-,OWA I
EAST,
,OWA II
,OWA III
,OWA IV
,OWA V
,OWA VI
,AKUMAZI
,IGBODO
,UTE-OKPU
,IDUMUESAH
,UMUNEDE
,MBIRI
,UTE-OGBEJE
,OTOLOKPO
,
IKA-SOUTH,AGBOR TOWN I
,AGBOR TOWN II
,IHUOZOMOR (OZONOGOGO ALISIMIE)
,IHUIYASE I
,EKUKU-AGBOR
,IHUIYASE II
,BOJI-BOJI I
,BOJI-BOJI II
,BOJI-BOJI III
,ABAVO I
,ABAVO II
,ABAVO III
,
ISOKO- NORTH,IYEDE I
,IYEDE II
,ELLU
,OFAGBE
,ILUELOGBO
,OWHE/AKIEHWE
,EMEVOR
,OKPE-ISOKO
,OZORO I
,OZORO II
,OZORO III
,OYEDE
,OTIBIO
,
ISOKO- SOUTH,OLEH I
,OLEH II
,AVIARA
,UZERE
,EMEDE
,OLOMORO
,IGBIDE/OWODOKPOKPO
,EROHWA/UMEH
,ENHWE/OKPOLO
,IRRI I
,IRRI II
,
NDOKWA- EAST,OSSISSA
,AFOR/OBIKWELE
,ABARRA/INYI/ONUABOH
,OKPAI/UTCHI/BENEKU
,ABOH/AKARRAI
,ONYI/ADIA/OUT/OKU/UMUOLU
,ASE
,IBEDENI
,IBREDE/IGBUKU/ONOGBOKOR
,ASHAKA
,
NDOKWA- WEST,UTAGBA OGBE
,UTAGBA UNO I
,UTAGBA UNO II
,UTAGBA III
,ONICHA-UKWUANI
,OGUME I
,OGUME II
,ABBI I
,ABBII
,EMU
,
OKPE,OREROKPE
,OVIRI-OKPE
,OHA I
,OHA II
,AGBALOKPE
,ARAGBA TOWN
,MEREJE I
,MEREJE II
,MEREJE III
,UGBOTON
,
OSHIMILI- NORTH,AKWUKWU
,EBU
,ILLAH
,IBUSA I
,IBUSA II
,IBUSA III
,IBUSA IV
,IBUSA V
,OKPANAM
,UKALA
,
OSHIMILI- SOUTH,OGBELE/AKPAKO
,ANALA-AMAKOM
,OKWE
,UMUEZEI
,UMUAJI
,UMUONAJE
,AGU
,UGBOMANTA QUARTERS
,WEST END
,CABLE POINT I
,CABLE POINT II
,
PATANI,ABARI
,PATANI I
,PATANI II
,PATANI III
,TAWARE/KOLOWARE/AVEN
,AGOLOMA
,TORU-ANGIAMA/TORU APELEBIRI
,BOLOU-ANGIAMA
,UDUOPHORI
,ODORUBU/ADOBU/BOLOU/APELEBI RI
,
SAPELE,SAPELE URBAN I
,SAPELE URBAN II
,SAPELE URBAN III
,SAPELE URBAN IV
,SAPELE URBAN V
,SAPELE URBAN VI
,SAPELE URBAN VII
,SAPELE URBAN VIII
,AMUKPE
,ELUME
,OKOKPORO/UGBORHEN
,
UDU,UDU I
,UDU II
,UDU III
,UDU IV
,OPETE/ASSAGBA/EDJOHPE
,EKETE
,OVWIAN I
,OVWIAN II
,ORHUWERUN
,ALADJA
,
UGHELLI NORTH,AGBARHA
,OGOR
,OROGUN I
,OROGUN II
,UGHELLI I
,UGHELLI II
,UGHELLI III
,EVWRENI
,UWHERU
,AGBARHO I
,AGHARHO II
,
UGHELLI- SOUTH,EWU I
,EWU II
,EWU III
,OLOMU I
,OLOMU II
,EFFURN-OTOR
,EKAKPAMRE
,JEREMI I
,JEREMI II
,JEREMI III
,JEREMI IV
,
UKWUANI,UMUTU
,AKOKU
,EBEDEI
,UMUKWATA
,EZIOKPOR
,AMAI
,EZIONUM
,UMUEBU
,OBIARUKU I
,OBIARUKU II
,
UVWIE,EFFURUN I
,EFFURUN II
,ENERHEN I
,ENERHEN II
,UGBORIKOKO
,UGBOROKE
,UGBOMRO/UGBOLOKPOSO
,ARMY BARRACKS AREA
,EKPAN I
,EKPAN II
,
WARRI- NORTH,OGHEYE
,GBOKODA
,EBROHIMI
,EGHORO
,KOKO I
,KOKO II
,OPUAMA (EGBEMA I)
,TSEKELEWU (EGBEMA II)
,OGBINBIRI (EGBEMA III)
,OGBUDUGBUDU (EGBEMA IV)
,
WARRI- SOUTH,OBODO/OMADINO
,ODE-ITSEKIRI
,OGUN/EKUREDE-URHOBO
,UGBUWANGUE EKUREDE- ITSEKIRI
,GRA
,BOWEN
,PESSU
,OKERE
,IGBUDU
,EDJEBA
,OKUMAGBA I
,OKUMAGBA II
,
WARRI- SOUTH WEST,OGBE-IJOH
,ISABA
,OPOROZA
,OGBARAMATU
,UGBORODO
,AKPIKPA
,MADANGHO
,ORERE
,AJA-UDAIBO
,OGIDIGBEN
,
ABAKALIKI,ABAKPA
,AMACHI (NDEGU)
,AMACHI (NDEGU)
,AMAGU (ENYIGBA)
,AMAGU UNUHU
,AZUMINI/ AZUGWU LAYOUT
,AZUIYIOKWU LAYOUT
,AZUIYIUDENE LAYOUT
,EDDA
,IZZI UNUHU
,NDIAGU
,OKPOITUMO/NDEBOR
,OKPOITUMO NDIEGU
,TIMBER SHED
,
AFIKPO NORTH,AMATA-AKPOHA
,AMOGU-AKPOHA
,EZEKE-AMASIRI
,POPERI-AMASIRI
,ITIM-AFIKPO
,IBII/OZIZA AFIKPO
,NKPOGHORO AFIKPO
,OHAISU-AFIKPO ‘A’
,OHISU-AFIKPO    ‘B’
,UGWUEGU-AFIKPO
,UNWANA-AFIKPO I
,UNWANA-AFIKPO II
,
AFIKPO SOUTH,AMANGWU EDDA
,AMEKE EKOLI-EDDA
,AMIGBO ETITI-EDDA
,AMIRI EKOLI
,AMOSO ETITI EDDA
,EBUNWANA
,NDIOKE EKOLI-EDDA
,NGUZU EDDA
,OGBU-EDA
,OSO-EDDA
,OWUTU-EDDA
,
EBONYI,AGALEGU
,EGWU DINAGU
,KPIRI KPIRI
,MBEKE
,NDIEBO
,NDIEGU
,(ECHIABA) I
,ENYIBICHIRI I
,ENYIBICHIRI II
,(ABOFIA)
,ONUENYIM
,(ABAKPA)
,URBAN (NEW LAYOUT)
,
EZZA NORTH,AMUDA/AMAEWULA
,EKKA
,INYERE
,NDIEGUAZU/UMUOGHARA
,NKOMORO
,OGBOJI
,OSHIEGBE-UMUEZEOKHA
,OMEGE-UMUEZEOKOHA
,OKPOSI-UMUOGHARA
,ORIUZO
,UMUEZEOKA
,
EZZA SOUTH,AMAEZEKWE
,AMAGU/NSOKRA
,AMAEKA
,AMANA
,AMUDO/OKOFFIA
,AMUZU
,ECHARA
,EZZAMA
,IKWUATOR/IDEMBIA
,ONU EKE (URBAN)
,UMUNWAGU/IDEMBIA
,
IKWO,AMAINYIMA
,ECHIALIKE
,EKA AWOKE
,EKPANWUDELE
,EKPELU
,ENYIBICHIRI
,ETAM
,IGBUDU
,INYIMAGU
,INYIMAGU
,NDIAGU AMAGU
,NDIAGU AMAGU
,NDIAGU ECHARA
,NDIAGU ECHARA
,NDUFU AMAGU
,NDUFU AMAGU
,NDUFU AWKE
,NDUFU ECHARA
,NOYE ALIKE
,
ISHIELU,AGBA
,AMAEZU
,AZU INYABA ‘A’
,AZY UBTABA ‘B’
,EZILLO I
,EZILLO II
,EZZAGU (OGBOJI) I
,EZZAGU (NKOMORO) II
,IYIONU
,NKALAGU
,NKALAHA
,NTEZI
,OBEAGU
,OHAFIA
,OKPOTO
,UMUHUALI
,
IVO,AKAEZE UKWU
,AMAEZE ISHIAGU
,AMAGU
,AMONYE
,IHENTA/OGIDI
,IYIOJI-AKAEZE
,NDIOKORO UKWU
,NGWONGWO
,OBINAGU
,OKUE
,UMUBOR
,
IZZI,AGBAJA MGBO
,AGBAJA ANYANWUIGWE
,AGBAJA OFFIA ONWE
,EZZA INYIMAGU IGBUHU
,EZZA INYIMAGU-IGWELED OHA
,EZZA INYIMAGU-IZZI OGO
,EZZA INYIMAGU-NDIAGU
,EGBEAGU NDU OGBU
,IGBEAGU II NDI ETTAH
,IGEAGU III
,MGBALUKWU INYIMAGU I
,MGBALUKWU INYIMAGU II
,NDIEZE/INYIMAGU
,NDIEZE/INYIMAGU/NDIABOISHI AGU
,
OHAOZARA,AMAECHI OKPASI
,ENE NA EZERAKU
,MGBOM OKPOSI
,OBIOZARA
,OKPOSI ACHARA
,OKPOSI OKWU
,UGBOGOLO-UGWULANGWU
,UHUOTARU-UGWU-LANGWU
,UMUCHIMA
,UMUNAGA
,UMUOBUNA
,
OHAUKWU,EFFIUM I
,EFFIUM II
,EZZAMGBO
,ISHI NGBO I
,ISHI NGBO II
,NGBO
,OKPOSHI I
,OKPOSHI II
,UMUAGBARA/AMECHI
,UMU OGUDU OSHIA
,UMU OGUDU AKPU I
,UMU OGUDU AKPU II
,WIGBEKE I
,WIGBEKE II
,WIGBEKE III
,
ONICHA,ABAOMEGA
,AGABOR-ISU
,AMANATOR-ISU
,EBIA OSHIRI
,ENUAGU-ONUCHA
,ISINKWO-UKWU
,ISI-ONICHA
,OBEAGU-ISU
,OGUDU UKWO-OSHIRI
,OKUZU UKUAWU
,UGWU-OSHIRI
,UMUDOMI-ONICHA
,
AKOKO EDO,IGARRAI I
,IGARRAI II
,IMOGA/LAMPESE/BEKUM A EKPE
,EBILLO/EKPESE/EKOR/IKI RAN-ILE/IKIRAN OKE
,MAKEKE/OJAH
,DANGBALA/OJIRAMI/ANY AWOZA
,OLOMA/OKPE IJAJA/KAKUMA ANYARA
